"Acer"
"Apple"
"Asus"
"Chevorlet"
"Chrysler"
"Dell"
"Epson"
"Ford"
"Gateway"
"Generic"
"GM"
"Hisense"
"HP"
"Hyundai"
"IBM"
"Insignia"
"Jeep"
"KIA"
"Lenovo"
"LG"
"Microsoft"
"mynewbrand"
"OnePlus"
"Optoma"
"Panasonic"
"Samsung"
"Sony"
"TCL"
"Toyota"
"ultimate"
"ViewSonic"
"VIZIO"
"Westinghouse"
